tool_name,tool_url,article_title,article_location,article_year,article_doi,number_of_citations (google 2022),brazilian_qualis_cc,jcr_2016_2020,article_abstract
MUpro,http://www.igb.uci.edu/servers/servers.html,Prediction of protein stability changes for single-site mutations using support vector machines,PROTEINS,2006,https://doi.org/10.1002/prot.20810,778,B3,2752,"Accurate prediction of protein stability changes resulting from single amino acid mutations is important for understanding protein structures and designing new proteins. We use support vector machines to predict protein stability changes for single amino acid mutations leveraging both sequence and structural information. We evaluate our approach using cross-validation methods on a large dataset of single amino acid mutations. When only the sign of the stability changes is considered, the predictive method achieves 84% accuracy—a significant improvement over previously published results. Moreover, the experimental results show that the prediction accuracy obtained using sequence alone is close to the accuracy obtained using tertiary structure information. Because our method can accurately predict protein stability changes using primary sequence information only, it is applicable to many situations where the tertiary structure is unknown, overcoming a major limitation of previous methods which require tertiary information. The web server for predictions of protein stability changes upon mutations (MUpro), software, and datasets are available at http://www.igb.uci.edu/servers/servers.html. Proteins 2006. © 2005 Wiley-Liss, Inc."
MUSCLE,http://www.drive5.com/muscle,MUSCLE: a multiple sequence alignment method with reduced time and space complexity,BMC Bioinformatics,2004,https://doi.org/10.1186/1471-2105-5-113,7639,A1,3629,"Background
In a previous paper, we introduced MUSCLE, a new program for creating multiple alignments of protein sequences, giving a brief summary of the algorithm and showing MUSCLE to achieve the highest scores reported to date on four alignment accuracy benchmarks. Here we present a more complete discussion of the algorithm, describing several previously unpublished techniques that improve biological accuracy and / or computational complexity. We introduce a new option, MUSCLE-fast, designed for high-throughput applications. We also describe a new protocol for evaluating objective functions that align two profiles.
Results
We compare the speed and accuracy of MUSCLE with CLUSTALW, Progressive POA and the MAFFT script FFTNS1, the fastest previously published program known to the author. Accuracy is measured using four benchmarks: BAliBASE, PREFAB, SABmark and SMART. We test three variants that offer highest accuracy (MUSCLE with default settings), highest speed (MUSCLE-fast), and a carefully chosen compromise between the two (MUSCLE-prog). We find MUSCLE-fast to be the fastest algorithm on all test sets, achieving average alignment accuracy similar to CLUSTALW in times that are typically two to three orders of magnitude less. MUSCLE-fast is able to align 1,000 sequences of average length 282 in 21 seconds on a current desktop computer.
Conclusions
MUSCLE offers a range of options that provide improved speed and / or alignment accuracy compared with currently available programs. MUSCLE is freely available at http://www.drive5.com/muscle."
MuStab,http://bioinfo.ggc.org/mustab/,Sequence feature-based prediction of protein stability changes upon amino acid substitutions,BMC Genomics,2010,https://doi.org/10.1186/1471-2164-11-S2-S5,112,B2,4478,"Background
Protein destabilization is a common mechanism by which amino acid substitutions cause human diseases. Although several machine learning methods have been reported for predicting protein stability changes upon amino acid substitutions, the previous studies did not utilize relevant sequence features representing biological knowledge for classifier construction.
Results
In this study, a new machine learning method has been developed for sequence feature-based prediction of protein stability changes upon amino acid substitutions. Support vector machines were trained with data from experimental studies on the free energy change of protein stability upon mutations. To construct accurate classifiers, twenty sequence features were examined for input vector encoding. It was shown that classifier performance varied significantly by using different sequence features. The most accurate classifier in this study was constructed using a combination of six sequence features. This classifier achieved an overall accuracy of 84.59% with 70.29% sensitivity and 90.98% specificity.
Conclusions
Relevant sequence features can be used to accurately predict protein stability changes upon amino acid substitutions. Predictive results at this level of accuracy may provide useful information to distinguish between deleterious and tolerant alterations in disease candidate genes. To make the classifier accessible to the genetics research community, we have developed a new web server, called MuStab (http://bioinfo.ggc.org/mustab/)."
MutaBind,http://www.ncbi.nlm.nih.gov/projects/mutabind/,MutaBind estimates and interprets the effects of sequence variants on protein–protein interactions,Nucleic Acids Research,2016,https://doi.org/10.1093/nar/gkw374,97,B2,15542,"Proteins engage in highly selective interactions with their macromolecular partners. Sequence variants that alter protein binding affinity may cause significant perturbations or complete abolishment of function, potentially leading to diseases. There exists a persistent need to develop a mechanistic understanding of impacts of variants on proteins. To address this need we introduce a new computational method MutaBind to evaluate the effects of sequence variants and disease mutations on protein interactions and calculate the quantitative changes in binding affinity. The MutaBind method uses molecular mechanics force fields, statistical potentials and fast side-chain optimization algorithms. The MutaBind server maps mutations on a structural protein complex, calculates the associated changes in binding affinity, determines the deleterious effect of a mutation, estimates the confidence of this prediction and produces a mutant structural model for download. MutaBind can be applied to a large number of problems, including determination of potential driver mutations in cancer and other diseases, elucidation of the effects of sequence variants on protein fitness in evolution and protein design. MutaBind is available at http://www.ncbi.nlm.nih.gov/projects/mutabind/."
MutaGene,https://www.ncbi.nlm.nih.gov/projects/mutagene/,Exploring background mutational processes to decipher cancer genetic heterogeneity,Nucleic Acids Research,2017,https://doi.org/10.1093/nar/gkx367,53,B2,15542,"Much remains unknown about the progression and heterogeneity of mutational processes in different cancers and their diagnostic and clinical potential. A growing body of evidence supports mutation rate dependence on the local DNA sequence context for various types of mutations. We propose several tools for the analysis of cancer context-dependent mutations, which are implemented in an online computational framework MutaGene. The framework explores DNA context-dependent mutational patterns and underlying somatic cancer mutagenesis, analyzes mutational profiles of cancer samples, identifies the combinations of underlying mutagenic processes including those related to infidelity of DNA replication and repair machinery, and various other endogenous and exogenous mutagenic factors. As a result, the combination of mutagenic processes can be identified in any query sample with subsequent comparison to mutational profiles derived from malignant and benign samples. In addition, mutagen or cancer-specific mutational background models are applied to calculate expected DNA and protein site mutability to decouple relative contributions of mutagenesis and selection in carcinogenesis, thus elucidating the site-specific driving events in cancer. MutaGene is freely available at https://www.ncbi.nlm.nih.gov/projects/mutagene/."
MutaProt,http://www.bioinfo.weizmann.ac.il/MutaProt,MutaProt: a web interface for structural analysis of point mutations,Bioinformatics,2001,https://doi.org/10.1093/bioinformatics/17.4.381,17,A1,8470,"Summary: A web-based tool, termed ‘MutaProt’, is described which analyses pairs of PDB files whose members differ in one, or two, amino acids. MutaProt examines the micro environment surrounding the exchanged residue(s) and can be searched by specifying a PDB ID, keywords, or any pair of amino acids. Detailed information about accessibility of the exchanged residue(s) and its atomic contacts are provided based on CSU software (Sobolev et al. , Bioinformatics , 15, 327–332, 1999). An interactive 3D presentation of the superimposed regions around the mutation(s) is included. MutaProt is updated weekly.
Availability: http://www.bioinfo.weizmann.ac.il/MutaProt
Contact: eran.eyal@weizmann.ac.il"
mutation3D,http://mutation3d.org/,mutation3D: Cancer Gene Prediction Through Atomic Clustering of Coding Variants in the Structural Proteome,Human Mutation,2016,https://doi.org/10.1002/humu.22963,71,B2,5805,"A new algorithm and Web server, mutation3D (http://mutation3d.org), proposes driver genes in cancer by identifying clusters of amino acid substitutions within tertiary protein structures. We demonstrate the feasibility of using a 3D clustering approach to implicate proteins in cancer based on explorations of single proteins using the mutation3D Web interface. On a large scale, we show that clustering with mutation3D is able to separate functional from nonfunctional mutations by analyzing a combination of 8,869 known inherited disease mutations and 2,004 SNPs overlaid together upon the same sets of crystal structures and homology models. Further, we present a systematic analysis of whole-genome and whole-exome cancer datasets to demonstrate that mutation3D identifies many known cancer genes as well as previously underexplored target genes. The mutation3D Web interface allows users to analyze their own mutation data in a variety of popular formats and provides seamless access to explore mutation clusters derived from over 975,000 somatic mutations reported by 6,811 cancer sequencing studies. The mutation3D Web interface is freely available with all major browsers supported."
MutationAligner,http://www.mutationaligner.org/,MutationAligner: a resource of recurrent mutation hotspots in protein domains in cancer,Nucleic Acids Research,2016,https://doi.org/10.1093/nar/gkv1132,25,B2,15542,"The MutationAligner web resource, available at http://www.mutationaligner.org, enables discovery and exploration of somatic mutation hotspots identified in protein domains in currently (mid-2015) more than 5000 cancer patient samples across 22 different tumor types. Using multiple sequence alignments of protein domains in the human genome, we extend the principle of recurrence analysis by aggregating mutations in homologous positions across sets of paralogous genes. Protein domain analysis enhances the statistical power to detect cancer-relevant mutations and links mutations to the specific biological functions encoded in domains. We illustrate how the MutationAligner database and interactive web tool can be used to explore, visualize and analyze mutation hotspots in protein domains across genes and tumor types. We believe that MutationAligner will be an important resource for the cancer research community by providing detailed clues for the functional importance of particular mutations, as well as for the design of functional genomics experiments and for decision support in precision medicine. MutationAligner is slated to be periodically updated to incorporate additional analyses and new data from cancer genomics projects."
Mutationassessor,http://mutationassessor.org/,Predicting the functional impact of protein mutations: application to cancer genomics,Nucleic Acids Research,2011,https://doi.org/10.1093/nar/gkr407,1747,B2,15542,"As large-scale re-sequencing of genomes reveals many protein mutations, especially in human cancer tissues, prediction of their likely functional impact becomes important practical goal. Here, we introduce a new functional impact score (FIS) for amino acid residue changes using evolutionary conservation patterns. The information in these patterns is derived from aligned families and sub-families of sequence homologs within and between species using combinatorial entropy formalism. The score performs well on a large set of human protein mutations in separating disease-associated variants (∼19 200), assumed to be strongly functional, from common polymorphisms (∼35 600), assumed to be weakly functional (area under the receiver operating characteristic curve of ∼0.86). In cancer, using recurrence, multiplicity and annotation for ∼10 000 mutations in the COSMIC database, the method does well in assigning higher scores to more likely functional mutations (‘drivers’). To guide experimental prioritization, we report a list of about 1000 top human cancer genes frequently mutated in one or more cancer types ranked by likely functional impact; and, an additional 1000 candidate cancer genes with rare but likely functional mutations. In addition, we estimate that at least 5% of cancer-relevant mutations involve switch of function, rather than simply loss or gain of function."
Mutationmapper,http://mutationmapper.bioch.ox.ac.uk/,Mutationmapper: A Tool to Aid the Mapping of Protein Mutation Data,PLOS ONE,2013,https://doi.org/10.1371/journal.pone.0071711,30,B2,3788,"There has been a rapid increase in the amount of mutational data due to, amongst other things, an increase in single nucleotide polymorphism (SNP) data and the use of site-directed mutagenesis as a tool to help dissect out functional properties of proteins. Many manually curated databases have been developed to index point mutations but they are not sustainable with the ever-increasing volume of scientific literature. There have been considerable efforts in the automatic extraction of mutation specific information from raw text involving use of various text-mining approaches. However, one of the key problems is to link these mutations with its associated protein and to present this data in such a way that researchers can immediately contextualize it within a structurally related family of proteins. To aid this process, we have developed an application called MutationMapper. Point mutations are extracted from abstracts and are validated against protein sequences in Uniprot as far as possible. Our methodology differs in a fundamental way from the usual text-mining approach. Rather than start with abstracts, we start with protein sequences, which facilitates greatly the process of validating a potential point mutation identified in an abstract. The results are displayed as mutations mapped on to the protein sequence or a multiple sequence alignment. The latter enables one to readily pick up mutations performed at equivalent positions in related proteins. We demonstrate the use of MutationMapper against several examples including a single sequence and multiple sequence alignments. The application is available as a web-service at http://mutationmapper.bioch.ox.ac.uk."
mutationTCN,https://github.com/ha01994/mutationTCN,Prediction of mutation effects using a deep temporal convolutional network,Bioinformatics,2020,https://doi.org/10.1093/bioinformatics/btz873,8,A1,8470,"Motivation
Accurate prediction of the effects of genetic variation is a major goal in biological research. Towards this goal, numerous machine learning models have been developed to learn information from evolutionary sequence data. The most effective method so far is a deep generative model based on the variational autoencoder (VAE) that models the distributions using a latent variable. In this study, we propose a deep autoregressive generative model named mutationTCN, which employs dilated causal convolutions and attention mechanism for the modeling of inter-residue correlations in a biological sequence.
Results
We show that this model is competitive with the VAE model when tested against a set of 42 high-throughput mutation scan experiments, with the mean improvement in Spearman rank correlation ∼0.023. In particular, our model can more efficiently capture information from multiple sequence alignments with lower effective number of sequences, such as in viral sequence families, compared with the latent variable model. Also, we extend this architecture to a semi-supervised learning framework, which shows high prediction accuracy. We show that our model enables a direct optimization of the data likelihood and allows for a simple and stable training process.
Availability and implementation
Source code is available at https://github.com/ha01994/mutationTCN.
Supplementary information
Supplementary data are available at Bioinformatics online."
MutDB,http://www.mutdb.org/,MutDB services: interactive structural analysis of mutation data,Nucleic Acids Research,2005,https://doi.org/10.1093/nar/gki404,53,B2,15542,"Non-synonymous single nucleotide polymorphisms (SNPs) and mutations have been associated with human phenotypes and disease. As more and more SNPs are mapped to phenotypes, understanding how these variations affect the function and expression of genes and gene products becomes an important endeavor. We have developed a set of tools to aid in the understanding of how amino acid substitutions affect protein structures. To do this, we have annotated SNPs in dbSNP and amino acid substitutions in Swiss-Prot with protein structural information, if available. We then developed a novel web interface to this data that allows for visualization of the location of these substitutions. We have also developed a web service interface to the dataset and developed interactive plugins for UCSF's Chimera structural modeling tool and PyMOL that integrate our annotations with these sophisticated structural visualization and modeling tools. The web services portal and plugins can be downloaded from http://www.lifescienceweb.org/ and the web interface is at http://www.mutdb.org/ ."
NeEMO,http://protein.bio.unipd.it/neemo/,NeEMO: a method using residue interaction networks to improve prediction of protein stability upon mutation,BMC Genomics,2014,https://doi.org/10.1186/1471-2164-15-S4-S7,97,B2,4478,"Background
The rapid growth of un-annotated missense variants poses challenges requiring novel strategies for their interpretation. From the thermodynamic point of view, amino acid changes can lead to a change in the internal energy of a protein and induce structural rearrangements. This is of great relevance for the study of diseases and protein design, justifying the development of prediction methods for variant-induced stability changes.
Results
Here we propose NeEMO, a tool for the evaluation of stability changes using an effective representation of proteins based on residue interaction networks (RINs). RINs are used to extract useful features describing interactions of the mutant amino acid with its structural environment. Benchmarking shows NeEMO to be very effective, allowing reliable predictions in different parts of the protein such as β-strands and buried residues. Validation on a previously published independent dataset shows that NeEMO has a Pearson correlation coefficient of 0.77 and a standard error of 1 Kcal/mol, outperforming nine recent methods. The NeEMO web server can be freely accessed from URL: http://protein.bio.unipd.it/neemo/.
Conclusions
NeEMO offers an innovative and reliable tool for the annotation of amino acid changes. A key contribution are RINs, which can be used for modeling proteins and their interactions effectively. Interestingly, the approach is very general, and can motivate the development of a new family of RIN-based protein structure analyzers. NeEMO may suggest innovative strategies for bioinformatics tools beyond protein stability prediction."
nsSNPAnalyzer,http://snpanalyzer.utmem.edu/,nsSNPAnalyzer: identifying disease-associated nonsynonymous single nucleotide polymorphisms,Nucleic Acids Research,2005,https://doi.org/10.1093/nar/gki372,218,B2,15542,"Nonsynonymous single nucleotide polymorphisms (nsSNPs) are prevalent in genomes and are closely associated with inherited diseases. To facilitate identifying disease-associated nsSNPs from a large number of neutral nsSNPs, it is important to develop computational tools to predict the nsSNP's phenotypic effect (disease-associated versus neutral). nsSNPAnalyzer, a web-based software developed for this purpose, extracts structural and evolutionary information from a query nsSNP and uses a machine learning method called Random Forest to predict the nsSNP's phenotypic effect. nsSNPAnalyzer server is available at http://snpanalyzer.utmem.edu/ ."
P3Fold,http://csb.cs.mcgill.ca/P3Fold,Fast and flexible coarse-grained prediction of protein folding routes using ensemble modeling and evolutionary sequence variation,Bioinformatics,2020,https://doi.org/10.1093/bioinformatics/btz743,1,A1,8470,"Motivation
Protein folding is a dynamic process through which polypeptide chains reach their native 3D structures. Although the importance of this mechanism is widely acknowledged, very few high-throughput computational methods have been developed to study it.
Results
In this paper, we report a computational platform named P3Fold that combines statistical and evolutionary information for predicting and analyzing protein folding routes. P3Fold uses coarse-grained modeling and efficient combinatorial schemes to predict residue contacts and evaluate the folding routes of a protein sequence within minutes or hours. To facilitate access to this technology, we devise graphical representations and implement an interactive web interface that allows end-users to leverage P3Fold predictions. Finally, we use P3Fold to conduct large and short scale experiments on the human proteome that reveal the broad conservation and variations of structural intermediates within protein families.
Availability and implementation
A Web server of P3Fold is freely available at http://csb.cs.mcgill.ca/P3Fold.
Supplementary information
Supplementary data are available at Bioinformatics online."
PANOGA,http://panoga.sabanciuniv.edu/,PANOGA: a web server for identification of SNP-targeted pathways from genome-wide association study data,Bioinformatics,2014,https://doi.org/10.1093/bioinformatics/btt743,28,A1,8470,"Summary: Genome-wide association studies (GWAS) have revolutionized the search for the variants underlying human complex diseases. However, in a typical GWAS, only a minority of the single-nucleotide polymorphisms (SNPs) with the strongest evidence of association is explained. One possible reason of complex diseases is the alterations in the activity of several biological pathways. Here we present a web server called Pathway and Network-Oriented GWAS Analysis to devise functionally important pathways through the identification of SNP-targeted genes within these pathways. The strength of our methodology stems from its multidimensional perspective, where we combine evidence from the following five resources: (i) genetic association information obtained through GWAS, (ii) SNP functional information, (iii) protein–protein interaction network, (iv) linkage disequilibrium and (v) biochemical pathways.
Availability: PANOGA web server is freely available at: http://panoga.sabanciuniv.edu/. The source code is available to academic users ‘as is’ on request.
Contact:  burcub@gatech.edu
Supplementary information: Supplementary data are available at Bioinformatics online."
Parepro,http://www.mobioinfor.cn/parepro,Predicting the phenotypic effects of non-synonymous single nucleotide polymorphisms based on support vector machines,BMC BIoinformatics,2007,https://doi.org/10.1186/1471-2105-8-450,66,A1,3629,"Background
Human genetic variations primarily result from single nucleotide polymorphisms (SNPs) that occur approximately every 1000 bases in the overall human population. The non-synonymous SNPs (nsSNPs) that lead to amino acid changes in the protein product may account for nearly half of the known genetic variations linked to inherited human diseases. One of the key problems of medical genetics today is to identify nsSNPs that underlie disease-related phenotypes in humans. As such, the development of computational tools that can identify such nsSNPs would enhance our understanding of genetic diseases and help predict the disease.
Results
We propose a method, named Parepro (P redicting the a mino acid re placement pro bability), to identify nsSNPs having either deleterious or neutral effects on the resulting protein function. Two independent datasets, HumVar and NewHumVar, taken from the PhD-SNP server, were applied to train the model and test the robustness of Parepro. Using a 20-fold cross validation test on the HumVar dataset, Parepro achieved a Matthews correlation coefficient (MCC) of 50% and an overall accuracy (Q2) of 76%, both of which were higher than those predicted by the methods, such as PolyPhen, SIFT, and HydridMeth. Further analysis on an additional dataset (NewHumVar) using Parepro yielded similar results.
Conclusion
The performance of Parepro indicates that it is a powerful tool for predicting the effect of nsSNPs on protein function and would be useful for large-scale analysis of genomic nsSNP data."
PASE,http://www.computationalgenetics.se/wp-content/uploads/software/PASE/pase.tar,PASE: a novel method for functional prediction of amino acid substitutions based on physicochemical properties,Frontiers in Genetics,2013,https://doi.org/10.3389/fgene.2013.00021,17,B5,4888,"Background: Non-synonymous single-nucleotide polymorphisms (nsSNPs) within the coding regions of genes causing amino acid substitutions (AASs) may have a large impact on protein function. The possibilities to identify nsSNPs across genomes have increased notably with the advent of next-generation sequencing technologies. Thus, there is a strong need for efficient bioinformatics tools to predict the functional effect of AASs. Such tools can be used to identify the most promising candidate mutations for further experimental validation.
Results: Here we present prediction of AAS effects (PASE), a novel method that predicts the effect of an AASs based on physicochemical property changes. Evaluation of PASE, using a few AASs of known phenotypic effects and 3338 human AASs, for which functional effects have previously been scored with the widely used SIFT and PolyPhen tools, show that PASE is a useful method for functional prediction of AASs. We also show that the predictions can be further improved by combining PASE with information about evolutionary conservation.
Conclusion: PASE is a novel algorithm for predicting functional effects of AASs, which can be used for pinpointing the most interesting candidate mutations. PASE predictions are based on changes in seven physicochemical properties and can improve predictions from many other available tools, which are based on evolutionary conservation. Using available experimental data and predictions from the already existing tools, we demonstrate that PASE is a useful method for predicting functional effects of AASs, even when a limited number of query sequence homologs/orthologs are available."
PASTA2.0,http://protein.bio.unipd.it/pasta2/,PASTA 2.0: an improved server for protein aggregation prediction,Nucleic Acids Research,2014,https://doi.org/10.1093/nar/gku399,290,B2,15542,"The formation of amyloid aggregates upon protein misfolding is related to several devastating degenerative diseases. The propensities of different protein sequences to aggregate into amyloids, how they are enhanced by pathogenic mutations, the presence of aggregation hot spots stabilizing pathological interactions, the establishing of cross-amyloid interactions between co-aggregating proteins, all rely at the molecular level on the stability of the amyloid cross-beta structure. Our redesigned server, PASTA 2.0, provides a versatile platform where all of these different features can be easily predicted on a genomic scale given input sequences. The server provides other pieces of information, such as intrinsic disorder and secondary structure predictions, that complement the aggregation data. The PASTA 2.0 energy function evaluates the stability of putative cross-beta pairings between different sequence stretches. It was re-derived on a larger dataset of globular protein domains. The resulting algorithm was benchmarked on comprehensive peptide and protein test sets, leading to improved, state-of-the-art results with more amyloid forming regions correctly detected at high specificity. The PASTA 2.0 server can be accessed at http://protein.bio.unipd.it/pasta2/."
PATHiVar,http://pathivar.babelomics.org/,Assessing the impact of mutations found in next generation sequencing data over human signaling pathways,Nucleic Acids Research,2015,https://doi.org/10.1093/nar/gkv349,16,B2,15542,"Modern sequencing technologies produce increasingly detailed data on genomic variation. However, conventional methods for relating either individual variants or mutated genes to phenotypes present known limitations given the complex, multigenic nature of many diseases or traits. Here we present PATHiVar, a web-based tool that integrates genomic variation data with gene expression tissue information. PATHiVar constitutes a new generation of genomic data analysis methods that allow studying variants found in next generation sequencing experiment in the context of signaling pathways. Simple Boolean models of pathways provide detailed descriptions of the impact of mutations in cell functionality so as, recurrences in functionality failures can easily be related to diseases, even if they are produced by mutations in different genes. Patterns of changes in signal transmission circuits, often unpredictable from individual genes mutated, correspond to patterns of affected functionalities that can be related to complex traits such as disease progression, drug response, etc. PATHiVar is available at: http://pathivar.babelomics.org."
PGMRA,http://phop.ugr.es/fenogeno,PGMRA: a web server for (phenotype × genotype) many-to-many relation analysis in GWAS,Nucleic Acids Research,2013,https://doi.org/10.1093/nar/gkt496,34,B2,15542,"It has been proposed that single nucleotide polymorphisms (SNPs) discovered by genome-wide association studies (GWAS) account for only a small fraction of the genetic variation of complex traits in human population. The remaining unexplained variance or missing heritability is thought to be due to marginal effects of many loci with small effects and has eluded attempts to identify its sources. Combination of different studies appears to resolve in part this problem. However, neither individual GWAS nor meta-analytic combinations thereof are helpful for disclosing which genetic variants contribute to explain a particular phenotype. Here, we propose that most of the missing heritability is latent in the GWAS data, which conceals intermediate phenotypes. To uncover such latent information, we propose the PGMRA server that introduces phenomics—the full set of phenotype features of an individual—to identify SNP-set structures in a broader sense, i.e. causally cohesive genotype–phenotype relations. These relations are agnostically identified (without considering disease status of the subjects) and organized in an interpretable fashion. Then, by incorporating a posteriori the subject status within each relation, we can establish the risk surface of a disease in an unbiased mode. This approach complements—instead of replaces—current analysis methods. The server is publically available at http://phop.ugr.es/fenogeno."
Pharmaco-miR,http://www.pharmaco-mir.org/,Pharmaco-miR: linking microRNAs and drug effects,Briefings in Bioinformatics,2014,https://doi.org/10.1093/bib/bbs082,141,A1,10288,"MicroRNAs (miRNAs) are short regulatory RNAs that down-regulate gene expression. They are essential for cell homeostasis and active in many disease states. A major discovery is the ability of miRNAs to determine the efficacy of drugs, which has given rise to the field of ‘miRNA pharmacogenomics’ through ‘Pharmaco-miRs’. miRNAs play a significant role in pharmacogenomics by down-regulating genes that are important for drug function. These interactions can be described as triplet sets consisting of a miRNA, a target gene and a drug associated with the gene. We have developed a web server which links miRNA expression and drug function by combining data on miRNA targeting and protein–drug interactions. miRNA targeting information derive from both experimental data and computational predictions, and protein–drug interactions are annotated by the Pharmacogenomics Knowledge base (PharmGKB). Pharmaco-miR’s input consists of miRNAs, genes and/or drug names and the output consists of miRNA pharmacogenomic sets or a list of unique associated miRNAs, genes and drugs. We have furthermore built a database, named Pharmaco-miR Verified Sets (VerSe), which contains miRNA pharmacogenomic data manually curated from the literature, can be searched and downloaded via Pharmaco-miR and informs on trends and generalities published in the field. Overall, we present examples of how Pharmaco-miR provides possible explanations for previously published observations, including how the cisplatin and 5-fluorouracil resistance induced by miR-148a may be caused by miR-148a targeting of the gene KIT. The information is available at www.Pharmaco-miR.org."
PhD-SNP,http://snps.biofold.org/phd-snpg,PhD-SNPg: a webserver and lightweight tool for scoring single nucleotide variants,Nucleic Acids Research,2017,https://doi.org/10.1093/nar/gkx369,88,B2,15542,"One of the major challenges in human genetics is to identify functional effects of coding and non-coding single nucleotide variants (SNVs). In the past, several methods have been developed to identify disease-related single amino acid changes but only few tools are able to score the impact of non-coding variants. Among the most popular algorithms, CADD and FATHMM predict the effect of SNVs in non-coding regions combining sequence conservation with several functional features derived from the ENCODE project data. Thus, to run CADD or FATHMM locally, the installation process requires to download a large set of pre-calculated information. To facilitate the process of variant annotation we develop PhD-SNPg, a new easy-to-install and lightweight machine learning method that depends only on sequence-based features. Despite this, PhD-SNPg performs similarly or better than more complex methods. This makes PhD-SNPg ideal for quick SNV interpretation, and as benchmark for tool development. Availability: PhD-SNPg is accessible at http://snps.biofold.org/phd-snpg."
Phenoclustering,http://www.phenomicdb.de/,Phenoclustering: online mining of cross-species phenotypes,Bioinformatics,2010,https://doi.org/10.1093/bioinformatics/btq311,22,A1,8470,"Summary: Recently, several methods for analyzing phenotype data have been published, but only few are able to cope with data sets generated in different studies, with different methods, or for different species. We developed an online system in which more than 300 000 phenotypes from a wide variety of sources and screening methods can be analyzed together. Clusters of similar phenotypes are visualized as networks of highly similar phenotypes, inducing gene groups useful for functional analysis. This system is part of PhenomicDB, providing the world's largest cross-species phenotype data collection with a tool to mine its wealth of information.
Availability: Freely available at http://www.phenomicdb.de
Contact:  bertram.weiss@bayerhealthcare.com
Supplementary information:  Supplementary data are available at Bioinformatics online."
Phyre2,http://www.sbg.bio.ic.ac.uk/phyre2,"The Phyre2 web portal for protein modeling, prediction and analysis",Nature Protocols,2015,https://doi.org/10.1038/nprot.2015.053,7565,B1,17240,"Phyre2 is a suite of tools available on the web to predict and analyze protein structure, function and mutations. The focus of Phyre2 is to provide biologists with a simple and intuitive interface to state-of-the-art protein bioinformatics tools. Phyre2 replaces Phyre, the original version of the server for which we previously published a paper in Nature Protocols. In this updated protocol, we describe Phyre2, which uses advanced remote homology detection methods to build 3D models, predict ligand binding sites and analyze the effect of amino acid variants (e.g., nonsynonymous SNPs (nsSNPs)) for a user's protein sequence. Users are guided through results by a simple interface at a level of detail they determine. This protocol will guide users from submitting a protein sequence to interpreting the secondary and tertiary structure of their models, their domain composition and model quality. A range of additional available tools is described to find a protein structure in a genome, to submit large number of sequences at once and to automatically run weekly searches for proteins that are difficult to model. The server is available at http://www.sbg.bio.ic.ac.uk/phyre2. A typical structure prediction will be returned between 30 min and 2 h after submission."
PIIMS Server,http://chemyang.ccnu.edu.cn/ccb/server/PIIMS/index.php,PIIMS Server: A Web Server for Mutation Hotspot Scanning at the Protein–Protein Interface,Journal of Chemical Information and Modeling,2021,https://doi.org/10.1021/acs.jcim.0c00966,5,B2,5390,"Protein–protein interactions (PPIs) play vital roles in regulating biological processes, such as cellular and signaling pathways. Hotspots are certain residues located at protein–protein interfaces that contribute more in protein–protein binding than other residues. Research on the mutational effects of hotspots is important for understanding basic aspects of protein association. Hence, various computational tools have been developed to explore the impact of mutation hotspots, which will allow a better understanding of the forces that drive PPIs. However, tools that may provide comprehensive substitutions at hotspots are still rare. Hence, there is a strong need for a new free web server to explore mutational effects of hotspots. Herein we introduce a web server named PIIMS that integrates molecular dynamics simulation and one-step free energy perturbation. It contains two main computational functions: (1) computational alanine scanning analysis to identify hotspots and (2) full mutation scanning analysis to evaluate the effects of hotspot mutations. We rigidly validated its ability to predict binding free energy changes by using large and diverse datasets including 1,341 mutations from 50 PPIs with the correlation coefficient R = 0.75. The difference from the existing tools is that PIIMS can perform further evaluation of hotspot residues with regard to their different mutations. The PIIMS web server (accessible at http://chemyang.ccnu.edu.cn/ccb/server/PIIMS/index.php) is free and open to all users without login requirements."
PinSnps,http://fraternalilab.kcl.ac.uk/PinSnps/,PinSnps: structural and functional analysis of SNPs in the context of protein interaction networks,Bioinformatics,2016,https://doi.org/10.1093/bioinformatics/btw153,23,A1,8470,"Summary: We present a practical computational pipeline to readily perform data analyses of protein–protein interaction networks by using genetic and functional information mapped onto protein structures. We provide a 3D representation of the available protein structure and its regions (surface, interface, core and disordered) for the selected genetic variants and/or SNPs, and a prediction of the mutants’ impact on the protein as measured by a range of methods. We have mapped in total 2587 genetic disorder-related SNPs from OMIM, 587 873 cancer-related variants from COSMIC, and 1 484 045 SNPs from dbSNP. All result data can be downloaded by the user together with an R-script to compute the enrichment of SNPs/variants in selected structural regions.
Availability and Implementation: PinSnps is available as open-access service at http://fraternalilab.kcl.ac.uk/PinSnps/
Contact:  franca.fraternali@kcl.ac.uk
Supplementary information:  Supplementary data are available at Bioinformatics online."
